"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 17:22:19 IST 2024","Thu Nov 28 17:23:03 IST 2024","44551","","E2E - EventHub portal Scenarios","","","","Find a template by searching with template name",""
"passed","Thu Nov 28 17:43:25 IST 2024","Thu Nov 28 17:44:32 IST 2024","67271","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"failed","Thu Nov 28 17:35:02 IST 2024","Thu Nov 28 17:36:22 IST 2024","80078","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Thu Nov 28 18:03:36 IST 2024","Thu Nov 28 18:04:09 IST 2024","33574","","Store Locator Scenarios","","","","Verify the funtionality of store selector in plp page",""
"passed","Thu Nov 28 17:06:51 IST 2024","Thu Nov 28 17:09:01 IST 2024","129625","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Thu Nov 28 18:16:13 IST 2024","Thu Nov 28 18:18:42 IST 2024","149319","","Global Scenarios - Headers","","","","Validate content for global headers and footers in home page",""
"passed","Thu Nov 28 18:24:48 IST 2024","Thu Nov 28 18:25:02 IST 2024","13572","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"passed","Thu Nov 28 17:00:43 IST 2024","Thu Nov 28 17:03:03 IST 2024","139545","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"passed","Thu Nov 28 18:05:24 IST 2024","Thu Nov 28 18:05:52 IST 2024","27393","","Store Locator Scenarios","","","","Verify the funtionality of store selector in coupons page",""
"passed","Thu Nov 28 16:53:49 IST 2024","Thu Nov 28 16:55:26 IST 2024","96418","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Thu Nov 28 17:45:54 IST 2024","Thu Nov 28 17:47:02 IST 2024","67982","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Thu Nov 28 17:49:03 IST 2024","Thu Nov 28 17:49:35 IST 2024","31812","","Cart page Scenarios","","","","SignIn user able to view cart's empty message",""
"broken","Thu Nov 28 16:53:21 IST 2024","Thu Nov 28 16:55:33 IST 2024","132816","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"broken","Thu Nov 28 17:24:16 IST 2024","Thu Nov 28 17:24:36 IST 2024","19292","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Thu Nov 28 18:15:28 IST 2024","Thu Nov 28 18:16:15 IST 2024","46866","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page",""
"passed","Thu Nov 28 16:50:55 IST 2024","Thu Nov 28 16:52:20 IST 2024","84989","","E2E - Checkout Scenarios -STM","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
