"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jan 29 13:14:47 IST 2025","Wed Jan 29 13:14:48 IST 2025","1151","","Birthday Party Scenarios","","","","signedIn user books a party with Add-On and verifies the order in admin portal",""
"passed","Wed Jan 29 13:20:52 IST 2025","Wed Jan 29 13:22:19 IST 2025","87376","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Wed Jan 29 13:22:19 IST 2025","Wed Jan 29 13:23:54 IST 2025","94463","","Cart page Scenarios","","","","[Guest User] Verify Zip code change for Same Day Delivery",""
"passed","Wed Jan 29 13:20:09 IST 2025","Wed Jan 29 13:20:52 IST 2025","42759","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"passed","Wed Jan 29 13:25:24 IST 2025","Wed Jan 29 13:26:31 IST 2025","67184","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Wed Jan 29 13:17:57 IST 2025","Wed Jan 29 13:18:48 IST 2025","51039","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"failed","Wed Jan 29 13:27:10 IST 2025","Wed Jan 29 13:27:51 IST 2025","41032","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Wed Jan 29 13:15:04 IST 2025","Wed Jan 29 13:17:34 IST 2025","149821","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Wed Jan 29 13:29:35 IST 2025","Wed Jan 29 13:30:06 IST 2025","30209","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"passed","Wed Jan 29 13:27:51 IST 2025","Wed Jan 29 13:28:47 IST 2025","55778","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"passed","Wed Jan 29 13:20:50 IST 2025","Wed Jan 29 13:22:33 IST 2025","103674","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Wed Jan 29 13:27:31 IST 2025","Wed Jan 29 13:28:00 IST 2025","28742","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Wed Jan 29 13:19:06 IST 2025","Wed Jan 29 13:20:11 IST 2025","65301","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
