"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90501","[Guest User][Classes & Events][.COM]Free Classes & Events at online","","Wed Jan 29 13:43:51 IST 2025","passed","Wed Jan 29 13:45:22 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","91694","Verify that products in the cart are grouped separately according to their respective sellers","","Wed Jan 29 13:50:17 IST 2025","passed","Wed Jan 29 13:51:48 IST 2025","","Cart page Scenarios","",""
"","6538","[Sign-in] Verify user lands on the same page after logging in and logging out from clp page","","Wed Jan 29 14:14:34 IST 2025","skipped","Wed Jan 29 14:14:41 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","129537","guest user books a party without Add-On and verifies the order in admin portal","","Wed Jan 29 13:39:17 IST 2025","passed","Wed Jan 29 13:41:27 IST 2025","","Birthday Party Scenarios","",""
"","41371","Apply multiple filters on the PLP page","","Wed Jan 29 14:13:44 IST 2025","broken","Wed Jan 29 14:14:26 IST 2025","","Product Landing Page Scenarios","",""
"","47331","Verify submenu navigation, disappearance, parent menu highlight, and options validation","","Wed Jan 29 13:59:49 IST 2025","passed","Wed Jan 29 14:00:36 IST 2025","","Mega menu Scenarios","",""
"","5205","SignIn user able to view cart's empty message","","Wed Jan 29 13:50:11 IST 2025","skipped","Wed Jan 29 13:50:17 IST 2025","","Cart page Scenarios","",""
"","2480","[Sign-in User] Verify items in the cart and store Name persist when the guest user signin, signout and re signin","","Wed Jan 29 13:52:50 IST 2025","skipped","Wed Jan 29 13:52:53 IST 2025","","Cart page Scenarios","",""
"","62251","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page","","Wed Jan 29 13:51:48 IST 2025","passed","Wed Jan 29 13:52:50 IST 2025","","Cart page Scenarios","",""
"","43320","Verify AddToCart functionality in PLP page","","Wed Jan 29 14:06:48 IST 2025","failed","Wed Jan 29 14:07:31 IST 2025","","Product Landing Page Scenarios","",""
"","146998","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card","","Wed Jan 29 15:36:38 IST 2025","broken","Wed Jan 29 15:39:05 IST 2025","","E2E - Marketplace Scenarios","",""
"","3688","[Sign-in User][.COM]Place order using Store pickup with Gift Card.","","Wed Jan 29 13:31:29 IST 2025","skipped","Wed Jan 29 13:31:33 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","13001","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online","","Wed Jan 29 13:50:36 IST 2025","skipped","Wed Jan 29 13:50:49 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","40912","Validate content for global headers and footers in makerplace_CLP page for makerplace","","Wed Jan 29 14:20:23 IST 2025","passed","Wed Jan 29 14:21:04 IST 2025","","Global Scenarios - Header & Footer for Makerplace","",""
"","21141","Guest user is able to signin from cart page via signInlink","","Wed Jan 29 13:48:37 IST 2025","passed","Wed Jan 29 13:48:58 IST 2025","","Cart page Scenarios","",""
"","104505","Validate addition and removal of items quantity in the Cart Page","","Wed Jan 29 13:46:52 IST 2025","passed","Wed Jan 29 13:48:37 IST 2025","","Cart page Scenarios","",""
"","212061","[Guest user][.com]Place order using shipping methods - BOPIS, STM","","Wed Jan 29 13:35:46 IST 2025","passed","Wed Jan 29 13:39:18 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","11","Create template for Online Event","","Wed Jan 29 13:34:45 IST 2025","skipped","Wed Jan 29 13:34:45 IST 2025","","E2E - EventHub portal Scenarios","",""
"","3602","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page","","Wed Jan 29 14:14:45 IST 2025","skipped","Wed Jan 29 14:14:49 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","61047","Verify the funtionality of store selector in plp page","","Wed Jan 29 14:10:16 IST 2025","passed","Wed Jan 29 14:11:17 IST 2025","","Store Locator Scenarios","",""
"","72200","Verify ViewOptions functionality in PLP page","","Wed Jan 29 14:07:31 IST 2025","passed","Wed Jan 29 14:08:44 IST 2025","","Product Landing Page Scenarios","",""
"","1521","Create template for Online Class","","Wed Jan 29 13:34:53 IST 2025","skipped","Wed Jan 29 13:34:54 IST 2025","","E2E - EventHub portal Scenarios","",""
"","11751","signedIn user books a party with Add-On and verifies the order in admin portal","","Wed Jan 29 13:43:23 IST 2025","skipped","Wed Jan 29 13:43:35 IST 2025","","Birthday Party Scenarios","",""
"","100636","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Wed Jan 29 13:27:37 IST 2025","passed","Wed Jan 29 13:29:17 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","7424","[Sign-in] Verify user lands on the same page after logging in and logging out from cart page","","Wed Jan 29 14:14:49 IST 2025","skipped","Wed Jan 29 14:14:56 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","84173","[Guest User] Verify successful PayPal account login from the Payment and Order Review page","","Wed Jan 29 13:53:44 IST 2025","passed","Wed Jan 29 13:55:09 IST 2025","","Cart page Scenarios","",""
"","364864","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card","","Wed Jan 29 13:35:44 IST 2025","passed","Wed Jan 29 13:41:49 IST 2025","","E2E - Marketplace Scenarios","",""
"","33359","Verify sign-up page fields and functionality","","Wed Jan 29 14:10:12 IST 2025","passed","Wed Jan 29 14:10:46 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","2433","Verify visibility of a product under My Favorites section","","Wed Jan 29 13:46:16 IST 2025","skipped","Wed Jan 29 13:46:18 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","21019","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_home page for makerplace","","Wed Jan 29 14:21:04 IST 2025","passed","Wed Jan 29 14:21:25 IST 2025","","Global Scenarios - Header & Footer for Makerplace","",""
"","154842","[Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC","","Wed Jan 29 14:57:37 IST 2025","broken","Wed Jan 29 15:00:12 IST 2025","","E2E - Marketplace Scenarios","",""
"","2520","Validate user navigation and section accessibility for from the dashboard","","Wed Jan 29 13:46:18 IST 2025","skipped","Wed Jan 29 13:46:21 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","3060","[Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior","","Wed Jan 29 13:38:45 IST 2025","skipped","Wed Jan 29 13:38:48 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","104169","Verify the funtionality of store selector in coupons page","","Wed Jan 29 14:15:18 IST 2025","passed","Wed Jan 29 14:17:02 IST 2025","","Store Locator Scenarios","",""
"","4486","[Sign-in] Verify user lands on the same page after logging in and logging out from plp page","","Wed Jan 29 14:14:41 IST 2025","skipped","Wed Jan 29 14:14:45 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","49519","Validate marque banner progression through automatic rotation","","Wed Jan 29 14:00:17 IST 2025","passed","Wed Jan 29 14:01:07 IST 2025","","Home Page Scenarios","",""
"","82471","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page","","Wed Jan 29 14:04:22 IST 2025","passed","Wed Jan 29 14:05:44 IST 2025","","Product Landing Page Scenarios","",""
"","38608","Verify social login options on sign up page","","Wed Jan 29 14:09:34 IST 2025","passed","Wed Jan 29 14:10:12 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","184662","Verify signup with invalid data displays error","","Wed Jan 29 14:11:26 IST 2025","passed","Wed Jan 29 14:14:31 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","4441","signedIn user books a party without Add-On and verifies the order in admin portal","","Wed Jan 29 13:43:35 IST 2025","skipped","Wed Jan 29 13:43:39 IST 2025","","Birthday Party Scenarios","",""
"","56893","Validate content for global headers and footers in makerplace_PLP page for makerplace","","Wed Jan 29 14:19:26 IST 2025","passed","Wed Jan 29 14:20:23 IST 2025","","Global Scenarios - Header & Footer for Makerplace","",""
"","5313","[Sign-in] Validate Adding and Editing the Shipping Address on Checkout and Payment Review pages","","Wed Jan 29 13:35:07 IST 2025","skipped","Wed Jan 29 13:35:12 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","2931","Find a template by searching with template name","","Wed Jan 29 13:35:05 IST 2025","skipped","Wed Jan 29 13:35:08 IST 2025","","E2E - EventHub portal Scenarios","",""
"","116657","guest user books a party with Add-On and verifies the order in admin portal","","Wed Jan 29 13:41:27 IST 2025","passed","Wed Jan 29 13:43:23 IST 2025","","Birthday Party Scenarios","",""
"","1559","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.","","Wed Jan 29 13:33:35 IST 2025","skipped","Wed Jan 29 13:33:36 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","57260","Verify preview page links of Store Selector","","Wed Jan 29 13:59:38 IST 2025","passed","Wed Jan 29 14:00:35 IST 2025","","Store Locator Scenarios","",""
"","94478","Verify the product variants","","Wed Jan 29 14:05:32 IST 2025","broken","Wed Jan 29 14:07:06 IST 2025","","Product Description Page Scenarios","",""
"","20248","[Sign-in] Verify preview page links of Store Selector","","Wed Jan 29 14:17:02 IST 2025","skipped","Wed Jan 29 14:17:22 IST 2025","","Store Locator Scenarios","",""
"","1520","Create Instructor","","Wed Jan 29 13:35:08 IST 2025","skipped","Wed Jan 29 13:35:10 IST 2025","","E2E - EventHub portal Scenarios","",""
"","21665","[Sign-up] Email-Sign up michaels offers email from footer","","Wed Jan 29 13:45:54 IST 2025","passed","Wed Jan 29 13:46:16 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","110473","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card","","Wed Jan 29 13:48:46 IST 2025","passed","Wed Jan 29 13:50:36 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","99649","Validate content for global headers and footers in clp page","","Wed Jan 29 14:17:08 IST 2025","passed","Wed Jan 29 14:18:47 IST 2025","","Global Scenarios - Headers & Footer","",""
"","88874","[Guest user][.com]Place order using different variant","","Wed Jan 29 13:33:38 IST 2025","passed","Wed Jan 29 13:35:07 IST 2025","","E2E - Checkout Scenarios -STM","",""
