"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 29 08:07:44 CDT 2024","Wed May 29 08:08:13 CDT 2024","28091","","P1 E2E Scenarios - SET 1","","","","P1_12 [Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"broken","Wed May 29 08:01:39 CDT 2024","Wed May 29 08:03:01 CDT 2024","81962","","P0 E2E Scenarios","","","","P0_01 [Guest User]PlaceOrder using Store pickup",""
"broken","Wed May 29 08:04:43 CDT 2024","Wed May 29 08:05:11 CDT 2024","27275","","P1 E2E Scenarios - SET 1","","","","P1_06 [Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Wed May 29 08:09:00 CDT 2024","Wed May 29 08:09:39 CDT 2024","38842","","P1 E2E Scenarios - SET 2","","","","P1_22 Edit profile",""
"broken","Wed May 29 08:05:11 CDT 2024","Wed May 29 08:05:38 CDT 2024","26843","","P1 E2E Scenarios - SET 1","","","","P1_07 [Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"broken","Wed May 29 08:07:17 CDT 2024","Wed May 29 08:07:44 CDT 2024","27514","","P1 E2E Scenarios - SET 1","","","","P1_11 [Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"broken","Wed May 29 08:05:26 CDT 2024","Wed May 29 08:06:02 CDT 2024","36128","","P0 E2E Scenarios","","","","P0_07 [Sign-in User]PlaceOrder using SHIP TO ME",""
"broken","Wed May 29 08:05:08 CDT 2024","Wed May 29 08:05:44 CDT 2024","36228","","P1 E2E Scenarios - SET 2","","","","P1_16 [Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"broken","Wed May 29 08:10:17 CDT 2024","Wed May 29 08:10:53 CDT 2024","36264","","P2 E2E Scenarios - SET 1","","","","P2_06 [Sign-in User][.com][MIKPro]Place order via PDP page",""
"passed","Wed May 29 08:01:39 CDT 2024","Wed May 29 08:02:40 CDT 2024","61112","","P1 E2E Scenarios - SET 1","","","","P1_01 [Guest User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Wed May 29 08:02:40 CDT 2024","Wed May 29 08:03:23 CDT 2024","42240","","P1 E2E Scenarios - SET 1","","","","P1_02 [Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"broken","Wed May 29 08:10:26 CDT 2024","Wed May 29 08:10:58 CDT 2024","31925","","P2 E2E Scenarios - SET 2","","","","P2_10 [Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"failed","Wed May 29 08:10:58 CDT 2024","Wed May 29 08:11:42 CDT 2024","44213","","P2 E2E Scenarios - SET 2","","","","P2_11 [Seller account][marketplace] Create product and verify on marketplace listing management",""
"broken","Wed May 29 08:04:32 CDT 2024","Wed May 29 08:05:08 CDT 2024","36101","","P1 E2E Scenarios - SET 2","","","","P1_15 [Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"passed","Wed May 29 08:07:14 CDT 2024","Wed May 29 08:07:55 CDT 2024","40569","","P0 E2E Scenarios","","","","P0_10 Signup with enrolling reward today",""
"passed","Wed May 29 08:12:18 CDT 2024","Wed May 29 08:12:27 CDT 2024","9043","","P2 E2E Scenarios - SET 2","","","","P2_13 [Sign-up] Email-Sign up michaels offers email from footer",""
"broken","Wed May 29 08:03:49 CDT 2024","Wed May 29 08:04:17 CDT 2024","27198","","P1 E2E Scenarios - SET 1","","","","P1_04 [Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"broken","Wed May 29 08:06:02 CDT 2024","Wed May 29 08:06:38 CDT 2024","35983","","P0 E2E Scenarios","","","","P0_08 [Sign-in User]PlaceOrder using Same Day Delivery",""
"broken","Wed May 29 08:09:49 CDT 2024","Wed May 29 08:10:17 CDT 2024","27375","","P2 E2E Scenarios - SET 1","","","","P2_04 [Guest user][.com][MIKPro]Place order via PDP page",""
"broken","Wed May 29 08:04:17 CDT 2024","Wed May 29 08:04:43 CDT 2024","26802","","P1 E2E Scenarios - SET 1","","","","P1_05 [Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"passed","Wed May 29 08:08:22 CDT 2024","Wed May 29 08:09:00 CDT 2024","37637","","P1 E2E Scenarios - SET 2","","","","P1_21 Forgot password",""
"broken","Wed May 29 08:04:22 CDT 2024","Wed May 29 08:04:49 CDT 2024","26536","","P0 E2E Scenarios","","","","P0_05 Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"broken","Wed May 29 08:06:04 CDT 2024","Wed May 29 08:06:31 CDT 2024","27226","","P1 E2E Scenarios - SET 1","","","","P1_09 [Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"passed","Wed May 29 08:06:31 CDT 2024","Wed May 29 08:07:17 CDT 2024","45460","","P1 E2E Scenarios - SET 1","","","","P1_10 [Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Wed May 29 08:05:38 CDT 2024","Wed May 29 08:06:04 CDT 2024","26605","","P1 E2E Scenarios - SET 1","","","","P1_08 [Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Wed May 29 08:06:58 CDT 2024","Wed May 29 08:07:46 CDT 2024","48366","","P1 E2E Scenarios - SET 2","","","","P1_19 [Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Wed May 29 08:04:49 CDT 2024","Wed May 29 08:05:26 CDT 2024","36952","","P0 E2E Scenarios","","","","P0_06 [Sign-in User]PlaceOrder using Store pickup",""
"passed","Wed May 29 08:10:09 CDT 2024","Wed May 29 08:10:26 CDT 2024","17378","","P2 E2E Scenarios - SET 2","","","","P2_09 [Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"broken","Wed May 29 08:03:55 CDT 2024","Wed May 29 08:04:22 CDT 2024","27185","","P0 E2E Scenarios","","","","P0_04 [Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"broken","Wed May 29 08:09:22 CDT 2024","Wed May 29 08:09:49 CDT 2024","27155","","P2 E2E Scenarios - SET 1","","","","P2_02 [Guest user][.com]Place order using different variant",""
"passed","Wed May 29 08:09:39 CDT 2024","Wed May 29 08:10:16 CDT 2024","37077","","P1 E2E Scenarios - SET 2","","","","P1_23 Reset password",""
"passed","Wed May 29 08:08:16 CDT 2024","Wed May 29 08:10:09 CDT 2024","112692","","P2 E2E Scenarios - SET 2","","","","P2_08 [Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Wed May 29 08:01:39 CDT 2024","Wed May 29 08:03:41 CDT 2024","121849","","P1 E2E Scenarios - SET 2","","","","P1_13 [Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"broken","Wed May 29 08:03:28 CDT 2024","Wed May 29 08:03:55 CDT 2024","27187","","P0 E2E Scenarios","","","","P0_03 [Guest User]PlaceOrder using Same Day Delivery",""
"broken","Wed May 29 08:03:23 CDT 2024","Wed May 29 08:03:49 CDT 2024","26952","","P1 E2E Scenarios - SET 1","","","","P1_03 [Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"broken","Wed May 29 08:08:00 CDT 2024","Wed May 29 08:09:22 CDT 2024","81873","","P2 E2E Scenarios - SET 1","","","","P2_01 Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Wed May 29 08:12:27 CDT 2024","Wed May 29 08:14:20 CDT 2024","113249","","P2 E2E Scenarios - SET 2","","","","P2_14 [Sign-Up][Rewards] User can able to register with enrolling reward today",""
"broken","Wed May 29 08:05:44 CDT 2024","Wed May 29 08:06:21 CDT 2024","36520","","P1 E2E Scenarios - SET 2","","","","P1_17 [Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"broken","Wed May 29 08:11:42 CDT 2024","Wed May 29 08:12:18 CDT 2024","35481","","P2 E2E Scenarios - SET 2","","","","P2_12 [Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior",""
"broken","Wed May 29 08:06:38 CDT 2024","Wed May 29 08:07:14 CDT 2024","36611","","P0 E2E Scenarios","","","","P0_09 [Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Wed May 29 08:03:41 CDT 2024","Wed May 29 08:04:32 CDT 2024","51077","","P1 E2E Scenarios - SET 2","","","","P1_14 [Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"broken","Wed May 29 08:03:01 CDT 2024","Wed May 29 08:03:28 CDT 2024","26773","","P0 E2E Scenarios","","","","P0_02 [Guest User]PlaceOrder using SHIP TO ME",""
