"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 30 09:04:42 CDT 2024","Fri Aug 30 09:05:29 CDT 2024","47322","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Fri Aug 30 08:54:09 CDT 2024","Fri Aug 30 08:56:11 CDT 2024","122061","","E2E - Marketplace seller Scenarios","","","","[Seller account][marketplace] Create product and verify on marketplace listing management",""
"passed","Fri Aug 30 09:05:00 CDT 2024","Fri Aug 30 09:05:38 CDT 2024","37247","","Product Landing Page Scenarios","","","","Verify product details on PDP, PLP, Cart Slider and Cart Page",""
"broken","Fri Aug 30 09:01:39 CDT 2024","Fri Aug 30 09:02:40 CDT 2024","61741","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Fri Aug 30 08:50:56 CDT 2024","Fri Aug 30 08:52:08 CDT 2024","71756","","E2E - Checkout Scenarios","","","","[Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior",""
"broken","Fri Aug 30 08:54:10 CDT 2024","Fri Aug 30 08:54:47 CDT 2024","37168","","E2E - EventHub portal Scenarios","","","","Create Ondemand Class",""
"broken","Fri Aug 30 08:59:34 CDT 2024","Fri Aug 30 09:00:38 CDT 2024","64030","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"failed","Fri Aug 30 09:05:05 CDT 2024","Fri Aug 30 09:06:01 CDT 2024","56086","","MakerPlace - Mega menu Scenarios","","","","[Guest][MK] Navigating Back to Parent Category via Breadcrumb",""
"passed","Fri Aug 30 09:02:34 CDT 2024","Fri Aug 30 09:03:19 CDT 2024","44261","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"passed","Fri Aug 30 08:47:34 CDT 2024","Fri Aug 30 08:48:37 CDT 2024","63482","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"passed","Fri Aug 30 08:51:36 CDT 2024","Fri Aug 30 08:52:55 CDT 2024","79216","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"passed","Fri Aug 30 09:02:46 CDT 2024","Fri Aug 30 09:03:51 CDT 2024","65527","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"broken","Fri Aug 30 08:58:42 CDT 2024","Fri Aug 30 08:59:34 CDT 2024","52552","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Fri Aug 30 08:52:54 CDT 2024","Fri Aug 30 08:53:32 CDT 2024","37599","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"passed","Fri Aug 30 08:42:16 CDT 2024","Fri Aug 30 08:44:33 CDT 2024","136552","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"broken","Fri Aug 30 08:56:26 CDT 2024","Fri Aug 30 08:57:05 CDT 2024","38582","","E2E - EventHub portal Scenarios","","","","Create Instructor",""
"passed","Fri Aug 30 08:55:25 CDT 2024","Fri Aug 30 08:56:26 CDT 2024","61206","","E2E - EventHub portal Scenarios","","","","Find a template by searching with template name",""
"broken","Fri Aug 30 09:00:38 CDT 2024","Fri Aug 30 09:01:39 CDT 2024","60248","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Fri Aug 30 08:46:17 CDT 2024","Fri Aug 30 08:47:34 CDT 2024","76954","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"broken","Fri Aug 30 08:58:26 CDT 2024","Fri Aug 30 08:59:20 CDT 2024","53970","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"broken","Fri Aug 30 08:53:32 CDT 2024","Fri Aug 30 08:54:10 CDT 2024","37978","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"broken","Fri Aug 30 08:57:51 CDT 2024","Fri Aug 30 08:58:42 CDT 2024","50366","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Fri Aug 30 09:03:30 CDT 2024","Fri Aug 30 09:03:42 CDT 2024","12194","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Fri Aug 30 09:02:28 CDT 2024","Fri Aug 30 09:03:30 CDT 2024","62223","","E2E - Signup & My Account Scenarios","","","","[Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Fri Aug 30 08:52:13 CDT 2024","Fri Aug 30 08:55:38 CDT 2024","204996","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"passed","Fri Aug 30 08:50:46 CDT 2024","Fri Aug 30 08:52:17 CDT 2024","90710","","E2E - EventHub portal Scenarios","","","","Create template for Online Event",""
"broken","Fri Aug 30 08:59:36 CDT 2024","Fri Aug 30 09:01:15 CDT 2024","99153","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"passed","Fri Aug 30 08:57:29 CDT 2024","Fri Aug 30 08:58:32 CDT 2024","63172","","E2E - Signup & My Account Scenarios","","","","Signup with enrolling reward today",""
"passed","Fri Aug 30 08:49:50 CDT 2024","Fri Aug 30 08:50:56 CDT 2024","66608","","E2E - Checkout Scenarios","","","","[Sign-in User][.com][MIKPro]Place order via PDP page",""
"broken","Fri Aug 30 08:57:05 CDT 2024","Fri Aug 30 08:57:24 CDT 2024","19096","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"broken","Fri Aug 30 08:42:16 CDT 2024","Fri Aug 30 08:44:02 CDT 2024","105500","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Fri Aug 30 09:03:51 CDT 2024","Fri Aug 30 09:04:12 CDT 2024","20870","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Fri Aug 30 08:57:12 CDT 2024","Fri Aug 30 08:58:26 CDT 2024","74501","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"broken","Fri Aug 30 08:46:34 CDT 2024","Fri Aug 30 08:47:28 CDT 2024","53985","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Fri Aug 30 09:04:17 CDT 2024","Fri Aug 30 09:05:00 CDT 2024","43394","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Fri Aug 30 08:58:32 CDT 2024","Fri Aug 30 08:59:36 CDT 2024","63464","","E2E - Signup & My Account Scenarios","","","","Forgot password",""
